exporter,importer,tonnes,year,yearly_share,total_source_1,exp_ISO3,imp_ISO3
RoW Middle East,Austria,237460.64004109867,2008,0.00018354477411041482,1293747758.2350001,RoW Middle East,AUT
Russia,Austria,143240.34850810352,2008,0.00011071736943801137,1293747758.2350001,RUS,AUT
Slovakia,Austria,20598.572228249453,2008,1.592162931076389e-05,1293747758.2350001,SVK,AUT
South Korea,Austria,259591.93105747818,2008,0.0002006511156484069,1293747758.2350001,KOR,AUT
Spain,Austria,91745.9046929071,2008,7.091483182013144e-05,1293747758.2350001,ESP,AUT
Sweden,Austria,27664.350860623563,2008,2.1383110180893955e-05,1293747758.2350001,SWE,AUT
Taiwan,Austria,63823.55173172987,2008,4.9332299380214095e-05,1293747758.2350001,TWN,AUT
United Kingdom,Austria,56819.92072984927,2008,4.391885540916109e-05,1293747758.2350001,GBR,AUT
United States,Austria,387390.84424379305,2008,0.00029943305546074325,1293747758.2350001,USA,AUT
Australia,Belgium,80839.09758009588,2008,6.24844349028136e-05,1293747758.2350001,AUS,BEL
