exporter,importer,tonnes,year,exp_ISO3,imp_ISO3
RoW Asia and Pacific,Canada,715923.3,2008,RoW Asia and Pacific,CAN
RoW EU27,Canada,364788.02,2008,RoW EU27,CAN
RoW Europe,Canada,532109.72,2008,RoW Europe,CAN
RoW Middle East,Canada,1009134.05,2008,RoW Middle East,CAN
Russia,Canada,608727.05,2008,RUS,CAN
Slovakia,Canada,87537.55,2008,SVK,CAN
South Korea,Canada,1103185.19,2008,KOR,CAN
Spain,Canada,389891.64,2008,ESP,CAN
Sweden,Canada,117564.92,2008,SWE,CAN
Taiwan,Canada,271230.3,2008,TWN,CAN
United Kingdom,Canada,241467.04,2008,GBR,CAN
United States,Canada,1646290.91,2008,USA,CAN
Australia,China,5390777.82,2008,AUS,CHN
Austria,China,3976345.03,2008,AUT,CHN
Belgium,China,8615140.65,2008,BEL,CHN
Brazil,China,11880173.54,2008,BRA,CHN
Canada,China,9519920.75,2008,CAN,CHN
China,China,342760473.18,2008,CHN,CHN
Czech Republic,China,4163059.34,2008,CZE,CHN
Finland,China,2149598.96,2008,FIN,CHN
France,China,12584840.08,2008,FRA,CHN
Germany,China,29700563.3,2008,DEU,CHN
Greece,China,3244481.21,2008,GRC,CHN
India,China,25813980.22,2008,IND,CHN
Indonesia,China,5177137.22,2008,IDN,CHN
Italy,China,21006218.25,2008,ITA,CHN
Japan,China,70949403.64,2008,JPN,CHN
Mexico,China,10787282.04,2008,MEX,CHN
Netherlands,China,6441504.16,2008,NLD,CHN
Poland,China,7220386.21,2008,POL,CHN
RoW Africa,China,13511062.31,2008,RoW Africa,CHN
RoW America,China,14271218.69,2008,RoW America,CHN
RoW Asia and Pacific,China,24203470.86,2008,RoW Asia and Pacific,CHN
RoW EU27,China,12332517.04,2008,RoW EU27,CHN
RoW Europe,China,17989220.46,2008,RoW Europe,CHN
RoW Middle East,China,34116149.67,2008,RoW Middle East,CHN
Russia,China,20579449.59,2008,RUS,CHN
